,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,69151.0,69151.0,69151.0,69151.0,69151.0,69151.0,69151.0,69151.0
mean,2.0,10.164755390377579,13.11373761430601,0.037921868207873445,0.02868500367378654,0.9579182491319259,665.7151559330756,0.004728092197230588
std,0.0,5.797902657464002,2.0880137553826525,0.010966236990476254,0.007887309854859404,0.8704158281634926,91.69041277348242,0.0022746850901761563
min,2.0,0.0,8.37601580806595,0.012999999999738,0.012999999999738,0.0,409.65068,0.0
25%,2.0,6.0,11.64503805968032,0.028500000000713,0.0225000000002182,0.05,601.45,0.0032000000000039
50%,2.0,9.0,12.111024692887716,0.0374999999996362,0.0270000000002255,1.55,645.45,0.005000000000291
75%,2.0,14.000000000000002,15.160277606517091,0.0444999999999709,0.0334999999997307,1.65,709.2,0.0062000000001717
max,2.0,27.0,20.533417727943824,0.0835000000006402,0.0585000000006403,3.5500000000000003,1030.05,0.0110016502475953
