,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,67997.0,67997.0,67997.0,67997.0,67997.0,67997.0,67997.0,67997.0
mean,2.0,6.148638910540171,12.7416113361823,0.027347970610221563,0.024116349216693228,0.537995229059104,769.6247535411857,0.0004193597986952801
std,0.0,6.46846203028831,1.9543869057442,0.00583772561718848,0.003953309757945523,0.6965213155055038,59.06769569928108,0.0005187734397457308
min,2.0,0.0,11.154234171880397,0.0130000000001018,0.0135000000002037,0.0,629.9000000000001,0.0
25%,2.0,0.0,11.29392455606183,0.0234999999998763,0.0215000000000145,0.0,730.85,0.0
50%,2.0,5.0,11.46923320553257,0.0260000000003856,0.0234999999998763,0.05,756.75,0.0
75%,2.0,9.0,14.701034245140686,0.0299999999997453,0.0255000000004656,1.4,793.35,0.000799999999981
max,2.0,26.0,20.90797231894133,0.0515000000001237,0.0394999999998617,3.25,1020.5,0.0020000000000436
