,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,67277.0,67277.0,67277.0,67277.0,67277.0,67277.0,67277.0,67277.0
mean,2.0,7.02709692762757,6.343553470725854,0.03138523763567627,0.025503636771590652,0.5296109992424778,881.1120073185652,0.00012604323323600787
std,0.0,7.062512949342636,0.9985974557262599,0.006579281067350822,0.0043187306461539435,0.6868590742311929,61.632277744118085,0.00013301663519480318
min,2.0,0.0,5.336874047846562,0.0139999999998508,0.0130000000002837,0.0,743.0,0.0
25%,2.0,0.0,5.68427888188483,0.0270000000000436,0.0225000000001728,0.0,841.75,0.0
50%,2.0,6.0,5.724723026743018,0.0300000000000181,0.0245000000001255,0.05,869.3000000000001,0.0001999999999952
75%,2.0,10.0,7.283995427194368,0.0339999999998326,0.0270000000000436,1.35,903.9,0.0002000000000009
max,2.0,31.0,10.577625350923324,0.0605000000002292,0.0435000000002219,3.0500000000000003,1160.5,0.000400661090796
