,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,71248.0,71248.0,71248.0,71248.0,71248.0,71248.0,71248.0,71248.0
mean,2.0,10.089363911969459,3.3662396232756135,0.05026722525074996,0.03678110215722833,0.638439638999993,1046.9497288553325,0.0009301407324379613
std,0.0,7.621865405478015,0.36186906334554253,0.022508839957243777,0.01435917760718927,0.6831127088120516,80.16608898836144,0.0004718451557135229
min,2.0,0.0,3.027828908822461,0.0174999999988358,0.0150000000001455,0.0,874.5500000000001,0.0
25%,2.0,4.0,3.078615720953004,0.0325000000002546,0.0255000000001018,0.0,992.0,0.0006000000000085
50%,2.0,9.0,3.09898157346844,0.0440000000002328,0.0314999999996871,0.05,1030.35,0.000999999999999
75%,2.0,15.0,3.771176439009383,0.0610000000000582,0.0460000000000945,1.25,1082.8,0.001200000000017
max,2.0,35.0,4.889679284689907,0.1400000000005093,0.0925000000004729,3.050610122024405,1350.1,0.0022003300495008
