,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,68213.0,68213.0,68213.0,68213.0,68213.0,68213.0,68213.0,68213.0
mean,2.0,3.0825062671338306,12.13297915950017,0.015368317147821595,0.010128568198211866,1.2320459584184833,971.3284704729056,0.0011787489415839944
std,0.0,4.216112696269777,2.317341840030641,0.0035626621967248693,0.003089598552804918,0.897323535694995,46.255765577930994,0.0006542491606855919
min,2.0,0.0,10.12184025163928,0.0054999999998472,0.0030000000000654,0.0,861.0500000000001,0.0
25%,2.0,0.0,10.205686216362132,0.0129999999999199,0.0080000000001746,0.1,940.5,0.000799999999981
50%,2.0,1.0,10.48393923955664,0.0145000000002255,0.0094999999999345,1.6,962.05,0.0011999999999716
75%,2.0,6.0,14.415726948062646,0.0169999999998253,0.0110000000000582,1.7000000000000002,992.35,0.0015999999999621
max,2.0,17.0,21.43840946131249,0.0320000000005165,0.0234999999998763,3.5500000000000003,1195.55,0.0030000000000654
