,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,67663.0,67663.0,67663.0,67663.0,67663.0,67663.0,67663.0,67663.0
mean,2.0,8.444851691470966,11.40930580922874,0.041011279100590804,0.02773734446771505,0.9947207148413716,1104.6255423206014,0.005450591244752721
std,0.0,7.372305654521673,1.811127840424343,0.019409475653512476,0.01209741540970982,0.79060031383422,93.6197947674588,0.0028649268558606777
min,2.0,0.0,9.996447949722942,0.0119999999998981,0.0099999999996725,0.0,901.75,0.0
25%,2.0,2.0,10.089657418255705,0.0274999999997817,0.0199999999993451,0.05,1038.25,0.0036000000000058
50%,2.0,8.0,10.180981293384573,0.0360000000000582,0.0244999999997162,1.4,1081.85,0.0055999999996856
75%,2.0,13.0,13.321615474504483,0.0470000000004802,0.0305000000000291,1.4500000000000002,1151.0,0.0072012602250525505
max,2.0,35.0,18.30641096661124,0.1239999999990686,0.0775000000012369,3.1500000000000004,1508.15,0.0138000000006286
