,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,62320.0,62320.0,62320.0,62320.0,62320.0,62320.0,62320.0,62320.0
mean,1.0,4.912708600770218,11.39697319535521,0.008611730531473488,0.0038538834093317675,0.8055937148348286,974.7870462788042,0.002123921549034184
std,0.0,7.002848969435479,2.258446553202442,0.008270959932348526,0.003988496357532161,0.7669188782501865,37.34900631012006,0.0030219303455387547
min,1.0,0.0,8.11893325697387,0.0004999999999995,0.0,0.0,790.1500000000001,0.0
25%,1.0,0.0,10.285071495245198,0.0045000000000982,0.0019999999999981,0.0,953.9,0.0001999999999952
50%,1.0,1.0,10.553446160493374,0.006,0.0025000000000318,1.35,967.55,0.0010000000000218
75%,1.0,9.0,12.22339821468816,0.0080000000000381,0.0039999999999992,1.4500000000000002,984.25,0.0018000000000029
max,1.0,37.0,20.03681762436138,0.0660000000000764,0.0294999999999959,3.4000000000000004,1239.5500000000002,0.0166000000000167
