,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,70576.0,70576.0,70576.0,70576.0,70576.0,70576.0,70576.0,70576.0
mean,2.0,0.06380341759238269,5.309045761928309,0.03626315641643805,0.03002565577700847,0.5792218563606534,842.4504335485373,0.00041380834606931306
std,0.0,0.05376483457606048,0.7978827099594347,0.01643403630132633,0.010959950641451256,0.6454950310421477,82.69371600254867,0.0002925937620350978
min,2.0,0.0,4.039031931492243,0.01200000000008,0.012999999999738,0.0,577.72964,0.0
25%,2.0,0.01,4.695915112607485,0.0235000000000582,0.0219999999999345,0.0,779.2,0.0001999999999952
50%,2.0,0.06,4.808752124331972,0.0325000000000727,0.0270000000002255,0.05,825.45,0.0004000000000019
75%,2.0,0.09,6.173785040063059,0.0430000000000291,0.0340000000001964,1.25,893.6,0.0005999999999971
max,2.0,0.24,8.191616595037043,0.1000000000001819,0.0715000000003783,2.85,1158.15,0.0012
