,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,68910.0,68910.0,68910.0,68910.0,68910.0,68910.0,68910.0,68910.0
mean,2.0,0.09828283268030766,10.255640645024705,0.04372278583629927,0.03579538555817025,1.0417957474531627,1048.3113378461437,0.005926737147353626
std,0.0,0.06926668837116771,1.795304752966786,0.020897013964023905,0.01416067035042139,0.8931214136241059,111.95292716268642,0.002988440352809613
min,2.0,0.0,8.853266967717078,0.0169999999998253,0.0154999999998835,0.0,748.58631,0.0
25%,2.0,0.05,8.908656575261077,0.0289999999993597,0.0265000000006693,0.05,962.7,0.0038000000000465
50%,2.0,0.08,8.983409615065163,0.0384999999994761,0.0315000000002328,1.6,1019.95,0.0056000000004132
75%,2.0,0.15,12.04967280895121,0.0494999999980791,0.0380000000004656,1.65,1112.55,0.0078000000001338
max,2.0,0.33,17.26260177267127,0.1304999999978463,0.0960000000006403,3.65,1459.15,0.0163999999997031
