,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,67853.0,67853.0,67853.0,67853.0,67853.0,67853.0,67853.0,67853.0
mean,2.0,0.08315063445978807,6.182206438011383,0.03442100090759759,0.025879330457733607,0.5901644162920673,988.3280140396488,0.005031176738879691
std,0.0,0.06934963042319964,0.949927825936628,0.012114909375646406,0.006123518392358152,0.7478557171736449,59.319150994411515,0.0028222338187046687
min,2.0,0.0,4.240320036027157,0.016000000000713,0.0130000000001018,0.0,833.25,0.0
25%,2.0,0.02,5.680841053263464,0.0269999999999527,0.0220000000002983,0.0,949.95,0.0033999999999878
50%,2.0,0.08,5.813263481547137,0.0304999999996653,0.0244999999997162,0.05,976.45,0.0053999999999632
75%,2.0,0.13,6.981712578188725,0.0369999999999436,0.0270000000000436,1.4500000000000002,1011.0,0.0067999999999301
max,2.0,0.31,9.670401633021486,0.089500000001135,0.0510204081634691,3.45,1272.75,0.0132000000001426
