,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,68698.0,68698.0,68698.0,68698.0,68698.0,68698.0,68698.0,68698.0
mean,2.0,0.10053742467029608,13.10566934662187,0.03789427797669028,0.02866920709549072,0.9573605468240969,665.4200638727201,0.004725163811620375
std,0.0,0.05652969297429468,2.086636459811465,0.010953541822998495,0.007881500930197297,0.8704292265309006,91.51596265712035,0.002276516285500974
min,2.0,0.0,8.37601580806595,0.012999999999738,0.012999999999738,0.0,409.65068,0.0
25%,2.0,0.06,11.642972979293964,0.0285000000003492,0.0225000000002182,0.05,601.35,0.0032000000000039
50%,2.0,0.09,12.108835210068436,0.0374999999996362,0.0270000000002255,1.55,645.25,0.005000000000291
75%,2.0,0.14,15.153199108084314,0.0444999999999708,0.0334999999995488,1.65,708.8000000000001,0.0062000000001717
max,2.0,0.26,20.533417727943824,0.0835000000006402,0.0585000000006403,3.5500000000000003,1030.05,0.0110016502475953
