,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0,69615.0
mean,2.0,0.08591194426488545,11.520171418512252,0.043667254524991546,0.029770177635032927,1.1209504555895775,1132.4304507075053,0.005796975176433388
std,0.0,0.0670319633656438,1.700832715519289,0.018377046290116775,0.011892588297735523,0.8745863436762082,98.70430854273219,0.002973154821264057
min,2.0,0.0,9.981148124572217,0.0120000000002619,0.0110000000000582,0.0,918.15,0.0
25%,2.0,0.03,10.215586153682288,0.0300000000010186,0.0219999999986612,0.05,1062.45,0.0040000000000873
50%,2.0,0.08,10.34004216826636,0.0389999999999417,0.0264999999997598,1.55,1109.05,0.0059999999997671
75%,2.0,0.13,13.35142413457966,0.0505000000004656,0.0325000000008003,1.6,1180.35,0.0078000000001338
max,2.0,0.31,18.159009122187577,0.1189999999987776,0.0735000000007858,3.5500000000000003,1514.8000000000002,0.0140000000003055
