,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,71120.0,71120.0,71120.0,71120.0,71120.0,71120.0,71120.0,71120.0
mean,2.0,0.03501588863892014,4.9264573979996715,0.02813180325270444,0.022717422093089606,0.4720525811061495,578.2702233412705,8.372894506492697e-05
std,0.0,0.046365656141801506,0.19931785461299142,0.0035477734593143645,0.0025387488086463083,0.6771748189159958,35.36830746953344,0.00010539863060605869
min,2.0,0.0,4.705496016779776,0.0159999999997126,0.0144999999998617,0.0,473.55,0.0
25%,2.0,0.0,4.761562326008029,0.0255000000001018,0.0210000000000036,0.0,553.95,0.0
50%,2.0,0.01,4.777987785532012,0.0279999999999745,0.0225000000001273,0.0,577.0500000000001,0.0
75%,2.0,0.06,5.139779981556081,0.0305000000000291,0.0244999999998981,1.4,601.0500000000001,0.0002000000000009
max,2.0,0.17,5.7244794283619065,0.0390000000004874,0.0304999999997562,3.0,699.1000000000001,0.0004001400490133
