,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,67686.0,67686.0,67686.0,67686.0,67686.0,67686.0,67686.0,67686.0
mean,2.0,0.07121147652394882,11.152066552151458,0.03288962820883821,0.027186059690126076,0.8194626089612868,624.1217888393988,0.005084684817839449
std,0.0,0.05472668548824155,2.032690732416391,0.010477215060312114,0.007957592625053508,0.8090866417549286,88.1542950472625,0.0027021448785033075
min,2.0,0.0,7.522336738240032,0.0155000000000654,0.0119999999999997,0.0,404.69253666666674,0.0
25%,2.0,0.02,9.361200369739642,0.0259999999999998,0.0224999999996725,0.0,565.6625,0.0036000000000058
50%,2.0,0.07,9.918918175230914,0.0290000000000873,0.0245000000000345,1.4500000000000002,603.5500000000001,0.0054000000000002
75%,2.0,0.1,13.126101295209796,0.0369999999999436,0.0285000000001673,1.55,659.4000000000001,0.006800000000112
max,2.0,0.25,19.18345425287216,0.080000000000291,0.06150000000016,3.3000000000000003,1038.5,0.0130000000001018
