,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,71606.0,71606.0,71606.0,71606.0,71606.0,71606.0,71606.0,71606.0
mean,2.0,0.07777295198726365,3.332811641971253,0.043103797087257985,0.0342792012771081,0.6356597120399686,990.5956900032759,0.0009247297741783206
std,0.0,0.06076027783907143,0.3701805405329795,0.016002931426299258,0.010248356665668978,0.7087326878707888,75.7460520878782,0.00047259582486512984
min,2.0,0.0,2.9863012164469183,0.0174999999995634,0.0159999999999854,0.0,809.6,0.0
25%,2.0,0.02,3.03011268519141,0.0309999999997671,0.0269999999996798,0.0,936.45,0.0005999999999858
50%,2.0,0.08,3.084490520946237,0.0395000000004074,0.0319999999996071,0.05,976.15,0.0009999999999763
75%,2.0,0.11,3.74272162346142,0.0500000000007275,0.0380000000004656,1.35,1031.45,0.001200000000017
max,2.0,0.26,4.878277399758291,0.1060000000004947,0.072000000000844,3.1,1284.35,0.0022000000000844
