,server-up,load-15m,memory_used_pct,cpu-user,cpu-system,sys-thermal,sys-interrupt-rate,disk-io-time
count,68211.0,68211.0,68211.0,68211.0,68211.0,68211.0,68211.0,68211.0
mean,2.0,0.05961355206638226,11.778323284240102,0.03101386216069934,0.023090821689734465,0.8560599104554066,1262.4174154577418,0.00043072819886703185
std,0.0,0.05592476846434204,2.0878695936678557,0.006918306815356813,0.006175220092929628,0.7583477699388977,62.1301890943373,0.0003053948102319263
min,2.0,0.0,8.195090528822046,0.0135000000000218,0.0105000000000472,0.0,1079.9,0.0
25%,2.0,0.0,10.215426388509508,0.0264999999999418,0.0194999999998799,0.05,1220.3,0.0
50%,2.0,0.05,10.333352359130954,0.0295000000000072,0.0215000000000031,1.35,1251.65,0.0004000000000132
75%,2.0,0.09,13.851562085934095,0.0335000000000945,0.02450000000008,1.4500000000000002,1293.1,0.0006000000000085
max,2.0,0.23,19.727017176218297,0.0625000000001819,0.0485000000002401,3.0500000000000003,1546.9,0.001200000000017
