,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.09100484948090878,1104.4771851041523,0.6669022745181041,0.0010635598576910162,0.041754189251153546,0.0600392830591819,2.0,3.4336802942190565
std,0.07113975868551126,1143.1145216353898,0.7274300666759879,0.002581877351168385,0.025147912198351937,0.059040697964457996,0.0,0.4372177417260812
min,0.0,577.8972,0.0,0.0,0.0159999999999854,0.0174999999995634,2.0,2.9863012164469183
25%,0.04,944.15,0.0,0.000799999999981,0.0275000000005093,0.0324999999989813,2.0,3.033496844210848
50%,0.08,994.2,0.1,0.0010000000000218,0.0340000000000145,0.0434999999994033,2.0,3.096663754829121
75%,0.13,1080.35,1.35,0.0014000000000123,0.0454999999998108,0.0619999999995343,2.0,3.78355064990461
max,0.57,56923.3,3.85,0.3903999999999996,1.1905000000002477,1.738499999999476,2.0,5.287066766779347
