,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86371.0,86371.0,86371.0,86371.0,86371.0,86371.0,86371.0,86371.0
mean,0.11693195632793417,775.7653006626778,0.9862819522249235,0.006553762380876467,0.03613915396867483,0.05686609369475718,1.99997684407961,13.492008588782086
std,0.11412466950140787,693.8222467843282,0.8845177858105572,0.011955587059891524,0.06678727710008528,0.09291616950011757,0.004812032033197234,2.193217711414457
min,0.0,409.65068,0.0,0.0,0.007000000000005,0.012999999999738,1.0,8.09456774384245
25%,0.07,610.7,0.05,0.0036000000000058,0.0234999999996944,0.0300000000006548,2.0,11.714927346491134
50%,0.1,666.95,1.55,0.0054000000000087,0.0290000000004511,0.0395000000004074,2.0,13.328824989164545
75%,0.15,778.5500000000001,1.65,0.0065999999998894,0.0375000000001819,0.0514999999995779,2.0,15.42965863474799
max,5.36,28651.9,5.15,0.7050279466666666,4.598499999999877,3.4845000000004807,2.0,27.943125198110874
