,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.11573164662446037,1139.4565352543136,1.0727393318463425,0.007772569361639722,0.04655820278381857,0.06697638705197435,2.0,10.78531502993278
std,0.07684330300755925,986.0086946740793,0.9028196084233786,0.011208724718888443,0.02900863278382132,0.06494329306952604,0.0,2.05191872126483
min,0.0,639.6221333333334,0.0,0.0,0.0126133333331497,0.0169999999998253,2.0,8.566841039469807
25%,0.06,974.75,0.05,0.0044000000001688,0.0275000000001455,0.0305000000000291,2.0,8.91680959937059
50%,0.1,1055.05,1.6,0.0065999999998894,0.0344999999993888,0.0434999999990395,2.0,9.222089395871102
75%,0.17,1168.65,1.7000000000000002,0.0092000000000552,0.0549999999995634,0.070499999999447,2.0,12.529006931089626
max,0.59,64959.7,3.95,1.0002000000000408,0.4059999999990396,1.2595000000001164,2.0,21.95736783693136
