,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.04391615837779656,5408.1461435617275,0.5966168532513487,9.113324317337514e-05,0.021392641063654485,0.02679214353801465,2.0,4.964235343603101
std,0.061345270638879824,837124.4946558862,0.8314890408978521,0.00020587713357377507,0.0065447835565757605,0.01290856411549231,0.0,0.22808872481426562
min,0.0,448.17444,0.0,0.0,0.0019999999999527,0.0019999999996798,2.0,4.705496016779776
25%,0.0,557.5000000000001,0.0,0.0,0.0204999999998108,0.0245000000003528,2.0,4.763691895168409
50%,0.01,583.2,0.05,0.0,0.0224999999998544,0.0275000000000545,2.0,4.787024565969111
75%,0.07,614.15,1.4,0.0002000000000009,0.0244999999998071,0.0304999999997562,2.0,5.149829078927393
max,0.36,246061242.40000004,4.3500000000000005,0.0153999999999996,0.1959999999998218,1.53950000000059,2.0,6.945975608100019
