,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.10262080299996532,4716.868626459221,1.0177178260544861,0.00778698173936168,0.03803296488484152,0.0643429760458455,2.0,12.007121463974014
std,0.08109509060074827,1029980.9083312505,0.7967056371303877,0.013937087334084624,0.026820239562026164,0.06593261437007851,0.0,2.1031569400418477
min,0.0,632.7448200000001,0.0,0.0,0.0099999999996725,0.0119999999998981,2.0,9.996447949722942
25%,0.03,1049.45,0.05,0.004399999999805,0.0205000000005384,0.0290000000000873,2.0,10.117024003604037
50%,0.09,1111.2,1.4,0.0060000000001309,0.0270000000004074,0.0409999999996216,2.0,10.237701981452895
75%,0.16,1233.2,1.4500000000000002,0.0082000000002153,0.0434999999997671,0.0669999999998253,2.0,13.79525615276772
max,0.59,302754228.7,3.5500000000000003,1.0,0.3215000000003783,1.0155000000006114,2.0,23.04052445996859
