,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.09952697306744135,1237.265934696298,1.1445432322183862,0.007146138074490809,0.037752665176540884,0.06272291217045231,2.0,12.023160045174835
std,0.07338195731646222,752.2029188454267,0.8791040458410923,0.008873358455916712,0.023400166051549178,0.057581456608090595,0.0,1.9843247639803123
min,0.0,681.32112,0.0,0.0,0.0110000000000582,0.0120000000002619,2.0,9.981148124572215
25%,0.04,1072.7,0.05,0.0045999999998457,0.0225000000002182,0.0315000000005966,2.0,10.248305548179815
50%,0.09,1134.7,1.55,0.0063999999998486,0.0289999999993597,0.0434999999994033,2.0,10.410475506577265
75%,0.15,1249.5500000000002,1.6,0.0084000000002561,0.0430000000000291,0.0665000000000873,2.0,13.657493174540647
max,0.54,33260.0,3.85,0.8497999999999593,0.4154999999997017,1.19700000000048,2.0,22.303720582486765
