,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.08656126665200634,986.0748458295227,0.5700567023055699,0.00022348522233071774,0.03393351893718363,0.056450240385460954,2.0,6.659393480820526
std,0.08320977075032823,456.790040847363,0.7171305524814692,0.0004418430117796421,0.023495756585045185,0.08418608084769735,0.0,1.1332791333255883
min,0.0,743.0,0.0,0.0,0.0034999999999399,0.0139999999998508,2.0,5.336874047846562
25%,0.01,849.7,0.0,0.0,0.0234999999996034,0.0279999999998835,2.0,5.692426969676767
50%,0.08,884.2,0.05,0.0001999999999995,0.0255000000001928,0.0315000000000509,2.0,5.7999570373552745
75%,0.13,974.25,1.35,0.0002000000000009,0.0314999999999599,0.0410000000000764,2.0,7.6699678767811585
max,0.84,25334.550000000003,6.1000000000000005,0.0151999999999986,0.5095000000000255,1.0184999999999491,2.0,15.528526949183096
