,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,85749.0,85749.0,85749.0,85749.0,85749.0,85749.0,85749.0,85749.0
mean,0.09800697384226055,1065.9129016371078,0.635107745233758,0.007533922114906295,0.0337924372425238,0.060740229783517924,1.9999300283385228,6.425796730520103
std,0.07515568204228444,374.7260530724457,0.7781017120039724,0.01609428639204615,0.021226851482008174,0.08080811821028305,0.008364662659176816,1.0365636507416869
min,0.0,565.80506,0.0,0.0,0.0104999999999989,0.011000000000007,1.0,4.2310772602642714
25%,0.04,957.25,0.0,0.0041999999999916,0.022500000000582,0.0275000000008731,2.0,5.708348143898223
50%,0.09,990.8,0.05,0.0056000000000494,0.0254999999999199,0.0325000000000727,2.0,5.974790820743737
75%,0.15,1083.45,1.5,0.0078000000001338,0.0340000000000031,0.0524999999997817,2.0,7.293803751288708
max,0.51,25822.7,4.55,0.975200000000001,0.4645000000000437,1.4955000000001748,2.0,14.430087005001424
