,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86397.0,86397.0,86397.0,86397.0,86397.0,86397.0,86397.0,86397.0
mean,8.281607000243064,744.6444136499427,0.8394643153419704,0.009208963801692782,0.033942503395733035,0.048755926899551584,2.0,11.615479621106372
std,5.94684592092979,490.3859020187723,0.8183748508250909,0.022186524164276848,0.018028851941955613,0.05528550799657555,0.0,2.148350534449317
min,0.0,404.69253666666674,0.0,0.0,0.0065000000000509,0.0155000000000654,2.0,7.186686926931573
25%,3.0,575.45,0.05,0.0041999999999461,0.0229999999999563,0.0265000000003055,2.0,9.449966419731947
50%,8.0,627.1500000000001,1.4500000000000002,0.0056000000000494,0.0260000000000218,0.0315000000000509,2.0,11.780712187038523
75%,12.0,760.85,1.55,0.0077999999999519,0.0385000000000218,0.0480000000001382,2.0,13.390170102656763
max,56.99999999999999,19087.25,4.8500000000000005,0.940599999999904,0.186999999999989,1.0514999999997598,2.0,25.910565402030716
