,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86383.0,86383.0,86383.0,86383.0,86383.0,86383.0,86383.0,86383.0
mean,12.439843487723278,1084.3200010587266,0.8701220927893228,0.005007572520289493,0.019856829600581934,0.05489229145473042,1.0,12.20206327627447
std,27.52279657490737,707.216578406196,0.8055316535606022,0.024075194671285834,0.03567817511801232,0.13100323047669388,0.0,2.5363070691596237
min,0.0,122.55,0.0,0.0,0.0,0.0004999999999995,1.0,8.074860125126937
25%,0.0,956.3,0.05,0.0002000000000407,0.0020000000000006,0.0050000000000181,1.0,10.450320179675622
50%,5.0,975.35,1.4,0.0014000000000123,0.0034999999999968,0.0070000000000618,1.0,10.898031638887872
75%,15.0,1069.65,1.4500000000000002,0.0068000000000012,0.0129999999999995,0.0295000000000868,1.0,14.338205322604974
max,211.0,29617.800000000003,5.3500000000000005,0.9968000000000076,0.443500000000006,1.0280000000000311,1.0,23.308623506927127
