,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86383.0,86383.0,86383.0,86383.0,86383.0,86383.0,86383.0,86383.0
mean,0.07674009932509869,1355.452880321519,0.8773248752748536,0.0007495304068435045,0.03210803793008403,0.053264214804060885,1.9999305418890292,12.308978928486965
std,0.08632387768517821,677.3853986810672,0.7728372771335806,0.005136723214907327,0.02350054414112327,0.0912818087297641,0.00833391208057059,2.2763756313707737
min,0.0,775.6109433333334,0.0,0.0,0.0054999999998472,0.0135000000000218,1.0,7.817921078273493
25%,0.01,1228.8000000000002,0.05,0.0002000000000002,0.0199999999998908,0.0274999999997817,2.0,10.235658285802817
50%,0.07,1268.9,1.35,0.0005999999999858,0.0225000000000363,0.0310000000001309,2.0,12.210638002943563
75%,0.1,1356.8000000000002,1.4500000000000002,0.0006000000000085,0.0315000000000509,0.0414999999999771,2.0,14.238083055760537
max,1.0,31954.800000000003,5.45,0.8593999999999995,0.3350000000000008,1.543500000000131,2.0,26.53222222675218
