,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.11785500167822133,1135.7022676977701,0.7040231587034086,0.0010728657745912252,0.05046761641956669,0.07700523543468776,2.0,3.461690450323645
std,0.08694911024007242,725.0400861225343,0.7167902335799601,0.002543226684410693,0.03838773397669458,0.07780616185615603,0.0,0.41914733200663185
min,0.0,653.69199,0.0,0.0,0.013958700000415,0.0174999999988358,2.0,3.027828908822461
25%,0.05,1000.0,0.0,0.000799999999981,0.0264999999999417,0.0340000000003783,2.0,3.0816225144803866
50%,0.1,1048.5,0.5,0.000999999999999,0.03700000000008,0.0529999999998835,2.0,3.1342231413298838
75%,0.17,1140.05,1.3,0.0013999999999896,0.0529999999998835,0.0764999999997599,2.0,3.805979769757528
max,0.71,24490.300000000003,3.5500000000000003,0.3554000000000087,0.6754999999995563,1.9509999999994765,2.0,5.368489850732782
