,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,0.07813300771981806,862.0990557451071,0.5682492396663353,0.0007895720456590827,0.030640830128626683,0.04672070565875121,2.0,13.265773995674591
std,0.08751033903699643,695.5318989994457,0.7302946052344866,0.0037919547233027833,0.021516366963031826,0.084001419627837,0.0,2.1342362698668675
min,0.0,468.7143466666666,0.0,0.0,0.0039999999999054,0.0130000000001018,2.0,11.154234171880395
25%,0.01,737.75,0.0,0.0,0.0219999999999345,0.02400000000016,2.0,11.308343882208781
50%,0.06,770.85,0.05,0.000400000000036,0.0244999999995343,0.0275000000001455,2.0,11.900598730896927
75%,0.11,850.85,1.4,0.0008000000000265,0.0289999999999054,0.0350000000002182,2.0,15.21056769645952
max,0.96,55672.65,6.9,0.4454000000000178,0.6694999999999709,1.2400000000003275,2.0,27.54035640526705
