,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0,86401.0
mean,4.335366488813787,1061.0811819930348,1.2407773857225775,0.0017438140952194285,0.014943338519832195,0.03674601607968252,2.0,12.697166635193563
std,7.297848507009986,703.6020908872215,0.9011493006990615,0.013969030174991844,0.013736344014088936,0.09051452351355617,0.0,2.4694729071423627
min,0.0,767.67482,0.0,0.0,0.0030000000000654,0.0054999999998472,2.0,10.12184025163928
25%,0.0,946.7,0.1,0.0009999999999308,0.0085000000000036,0.0134999999998399,2.0,10.241373978856016
50%,1.0,974.15,1.6,0.0012000000000625,0.0100000000000363,0.0155000000002473,2.0,12.754066199785575
75%,7.000000000000001,1046.3,1.7000000000000002,0.0018000000000029,0.0144999999999527,0.0209999999995488,2.0,14.873381947771158
max,94.0,30422.6,4.65,0.9944000000000416,0.3295000000000982,1.0260000000005678,2.0,29.18777389977518
