,load-15m,sys-interrupt-rate,sys-thermal,disk-io-time,cpu-system,cpu-user,server-up,memory_used_pct
count,86393.0,86393.0,86393.0,86393.0,86393.0,86393.0,86393.0,86393.0
mean,7.632366048175199,935.8227360694274,0.5948766288917942,0.0005410407311994578,0.038276987994454344,0.05330582037965885,1.9999652749644068,5.515873645720237
std,6.2109942001484875,877.0294865019881,0.6540287205499036,0.0041493390091419755,0.02542868895364832,0.054773330275188103,0.005892727017131635,0.9019907282833677
min,0.0,550.4812133333334,0.0,0.0,0.012999999999738,0.01200000000008,1.0,3.9455687286487073
25%,2.0,788.0500000000001,0.0,0.0002000000000009,0.0229999999997744,0.0249999999998181,2.0,4.734218490165754
50%,8.0,850.5500000000001,0.05,0.0004000000000019,0.0299999999999272,0.0375,2.0,4.871710833192244
75%,11.0,936.15,1.25,0.0006000000000028,0.042500000000291,0.054999999999984,2.0,6.28960216315363
max,50.0,23580.300000000003,3.0500000000000003,0.6852000000000089,0.6970000000001164,1.8700000000002548,2.0,9.095892209556988
